group,tag,shows,title_en,title_zh_hant,cn_annot_hant,title_zh_hans,cn_annot_hans,title_en_ok,title_hant_ok,title_hans_ok,title_hant_src,title_hans_src,syn_en,syn_hant,syn_hans
and juliet,Broadway/West End,12,& Juliet,& Juliet,,& Juliet,,1,0,0,—,—,1,1,1
andel pane karlin,歐陸原創,1,Anděl Páně Karlín,Anděl Páně Karlín,上帝的天使,Anděl Páně Karlín,上帝的天使,1,1,1,官方譯名表,官方譯名表,1,1,1
anglagard,歐陸原創,1,Änglagård,Änglagård,天使之屋,Änglagård,天使之家,1,1,1,官方譯名表,官方譯名表,1,1,1
annie,Broadway/West End,23,Annie,Annie,安妮,Annie,安妮,1,1,1,官方譯名表,官方譯名表,1,1,1
aoharu,日本原創,3,青春-AOHARU-鉄道,青春-AOHARU-鉄道,,青春-AOHARU-鉄道,,0,0,0,日文漢字題名,日文漢字題名,1,1,1
apollonia,韓國原創,2,Apollonia,Apollonia,,Apollonia,,1,0,0,—,—,1,1,1
armstrong un musical muy espacial,西葡音樂劇,1,"Armstrong, un musical muy espacial","Armstrong, un musical muy espacial",阿姆斯壯,"Armstrong, un musical muy espacial",阿姆斯特朗,1,1,1,官方譯名表,官方譯名表,1,1,1
artemis,西葡音樂劇,1,Artemis,Artemis,阿提米絲,Artemis,阿耳忒弥斯,1,1,1,官方譯名表,官方譯名表,1,1,1
autonomos,西葡音樂劇,1,Autónomos,Autónomos,自由工作者,Autónomos,自由工作者,1,1,1,官方譯名表,官方譯名表,1,1,1
avenue q,Broadway/West End,1,Avenue Q,Avenue Q,Q大道,Avenue Q,Q大道,1,1,1,官方譯名表,官方譯名表,1,1,1
az ej eleganciaja,歐陸原創,1,Az Éj Eleganciája – Több mint musical / Mahó Andrea – Csengeri Attila – Kovács Gábor,Az Éj Eleganciája – Több mint musical / Mahó Andrea – Csengeri Attila – Kovács Gábor,,Az Éj Eleganciája – Több mint musical / Mahó Andrea – Csengeri Attila – Kovács Gábor,,1,0,0,—,—,0,0,0
back to 1931,韓國原創,1,창작뮤지컬 BACK TO 1931 : 시무언 이용도,창작뮤지컬 BACK TO 1931 : 시무언 이용도,,창작뮤지컬 BACK TO 1931 : 시무언 이용도,,0,0,0,—,—,0,0,0
back to the future,Broadway/West End,9,Back to the Future,Back to the Future,回到未來,Back to the Future,回到未来,1,1,1,官方譯名表,官方譯名表,1,1,1
barnum,Broadway/West End,3,Barnum,Barnum,,Barnum,,1,0,0,—,—,1,1,1
bat boy,Broadway/West End,1,Bat Boy,Bat Boy,,Bat Boy,,1,0,0,—,—,1,1,1
bat out of hell 50th anniversary,Broadway/West End,2,Bat Out of Hell: 50th Anniversary,Bat Out of Hell: 50th Anniversary,,Bat Out of Hell: 50th Anniversary,,1,0,0,—,—,1,1,1
bear grease,Broadway/West End,2,Bear Grease,Bear Grease,,Bear Grease,,1,0,0,—,—,1,1,1
beautiful,Broadway/West End,1,Beautiful,Beautiful,,Beautiful,,1,0,0,—,—,1,1,1
beauty and the beast,Broadway/West End,23,Beauty and the Beast,Beauty and the Beast,美女與野獸,Beauty and the Beast,美女与野兽,1,1,1,官方譯名表,官方譯名表,1,1,1
beetlejuice,Broadway/West End,31,Beetlejuice,Beetlejuice,陰間大法師,Beetlejuice,阴间大法师,1,1,1,官方譯名表,官方譯名表,1,1,1
belle e la bestia,歐陸原創,18,Belle e la Bestia - Il musical,Belle e la Bestia - Il musical,美女與野獸,Belle e la Bestia - Il musical,美女与野兽,1,1,1,官方譯名表,官方譯名表,1,1,1
belle epoque,日本原創,2,天穹のアルテミス／Belle Époque,天穹のアルテミス／Belle Époque,,天穹のアルテミス／Belle Époque,,0,0,0,—,—,1,1,1
bienvenidos un musical con exitos de los 80s y 90s,西葡音樂劇,6,¡Bienvenidos! Un musical con éxitos de los 80's y 90's,¡Bienvenidos! Un musical con éxitos de los 80's y 90's,歡迎！,¡Bienvenidos! Un musical con éxitos de los 80's y 90's,欢迎！,1,1,1,官方譯名表,官方譯名表,1,1,1
billy elliot,Broadway/West End,4,Billy Elliot,Billy Elliot,舞動人生,Billy Elliot,跳出我天地,1,1,1,官方譯名表,官方譯名表,1,1,1
bitwa o tron,歐陸原創,1,Bitwa o tron,Bitwa o tron,,Bitwa o tron,,1,0,0,—,—,0,0,0
black mary poppins,韓國原創,1,Black Mary Poppins,Black Mary Poppins,,Black Mary Poppins,,1,0,0,—,—,0,0,0
blbff,台灣原創,1,Oliver’s Adventure into Adolescence A New Musical,以為是BL結果是BFF,,以为是BL结果是BFF,,1,1,1,原生中文,原生中文,1,1,1
blood brothers,Broadway/West End,1,Blood Brothers,Blood Brothers,,Blood Brothers,,1,0,0,—,—,0,0,0
bodyguard,Broadway/West End,13,Bodyguard Musical,Bodyguard Musical,終極保鑣,Bodyguard Musical,保镖,1,1,1,官方譯名表,官方譯名表,1,1,1
book of mormon,Broadway/West End,15,The Book of Mormon,The Book of Mormon,摩門經,The Book of Mormon,摩门经,1,1,1,官方譯名表,官方譯名表,1,1,1
boop,Broadway/West End,10,BOOP! The Musical,BOOP! The Musical,,BOOP! The Musical,,1,0,0,—,—,1,1,1
borderline,中國原創,1,Borderline-边界线,Borderline-邊界線,,Borderline-边界线,,0,1,1,原生中文,原生中文,0,0,0
brahms,韓國原創,1,Brahms,Brahms,,Brahms,,1,0,0,—,—,0,0,0
bright star,Broadway/West End,1,Bright Star,Bright Star,,Bright Star,,1,0,0,—,—,1,1,1
brothers karamazov,韓國原創,5,The Brothers Karamazov,The Brothers Karamazov,卡拉馬助夫兄弟們,The Brothers Karamazov,卡拉马佐夫兄弟,1,1,1,官方譯名表,官方譯名表,1,1,1
buddy holly story,Broadway/West End,1,The Buddy Holly Story,The Buddy Holly Story,,The Buddy Holly Story,,1,0,0,—,—,1,1,1
buena vista,日本原創,2,陽炎のごとく／Buena Vista!!,陽炎のごとく／Buena Vista!!,,阳炎のごとく／Buena Vista!!,,0,0,0,—,—,1,1,1
buena vista social club,Broadway/West End,25,Buena Vista Social Club,Buena Vista Social Club,樂士浮生錄,Buena Vista Social Club,乐士浮生录,1,1,1,官方譯名表,官方譯名表,1,1,1
bugsy malone,Broadway/West End,1,Bugsy Malone,Bugsy Malone,,Bugsy Malone,,1,0,0,—,—,1,1,1
burlesque,Broadway/West End,11,Burlesque The Musical,Burlesque The Musical,,Burlesque The Musical,,1,0,0,—,—,1,1,1
busco pis,西葡音樂劇,1,Busco pis!,Busco pis!,我要找房子！,Busco pis!,我要找房子！,1,1,1,官方譯名表,官方譯名表,1,1,1
cabaret,Broadway/West End,6,Cabaret,Cabaret,歌廳,Cabaret,歌厅,1,1,1,官方譯名表,官方譯名表,1,1,1
cafe in,韓國原創,1,'Cafe-in','Cafe-in',,'Cafe-in',,1,0,0,—,—,0,0,0
carmen,歐陸原創,1,Carmen,Carmen,卡門,Carmen,卡门,1,1,1,官方譯名表,官方譯名表,1,1,1
carodejnice bordelina,歐陸原創,1,Čarodejnice Bordelína,Čarodejnice Bordelína,,Čarodejnice Bordelína,,1,0,0,—,—,1,1,1
carousel,Broadway/West End,1,Carousel,Carousel,旋轉木馬,Carousel,旋转木马,1,1,1,官方譯名表,官方譯名表,1,1,1
cats,Broadway/West End,13,Cats,Cats,貓,Cats,猫,1,1,1,官方譯名表,官方譯名表,1,1,1
ceilidh,Broadway/West End,1,Ceilidh The Musical,Ceilidh The Musical,,Ceilidh The Musical,,1,0,0,—,—,1,1,1
cera una volta scugnizzi,歐陸原創,1,C'era una volta... Scugnizzi,C'era una volta... Scugnizzi,從前從前…街頭少年,C'era una volta... Scugnizzi,从前从前…街头少年,1,1,1,官方譯名表,官方譯名表,1,1,1
charlie and the chocolate factory,Broadway/West End,2,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,查理與巧克力工廠,Charlie and the Chocolate Factory,查理和巧克力工厂,1,1,1,官方譯名表,官方譯名表,1,1,1
charlie brown christmas,Broadway/West End,2,Charlie Brown Christmas,Charlie Brown Christmas,,Charlie Brown Christmas,,1,0,0,—,—,0,0,0
chicago,Broadway/West End,20,Chicago,Chicago,芝加哥,Chicago,芝加哥,1,1,1,官方譯名表,官方譯名表,1,1,1
chuchuwa viaja jugando,西葡音樂劇,1,Chuchuwá viaja jugando,Chuchuwá viaja jugando,Chuchuwá：邊玩邊旅行,Chuchuwá viaja jugando,Chuchuwá：边玩边旅行,1,1,1,官方譯名表,官方譯名表,1,1,1
cinderela,西葡音樂劇,1,Cinderela - O Musical,Cinderela - O Musical,灰姑娘,Cinderela - O Musical,灰姑娘,1,1,1,官方譯名表,官方譯名表,1,1,1
cinderella,Broadway/West End,7,Cinderella,Cinderella,灰姑娘,Cinderella,灰姑娘,1,1,1,官方譯名表,官方譯名表,1,1,1
club seolhwa,韓國原創,1,Club Seolhwa,Club Seolhwa,,Club Seolhwa,,1,0,0,—,—,0,0,0
come from away,Broadway/West End,13,Come from Away,Come from Away,來自遠方,Come from Away,来自远方,1,1,1,官方譯名表,官方譯名表,1,1,1
con musical,Broadway/West End,1,The Con Musical,The Con Musical,,The Con Musical,,1,0,0,—,—,1,1,1
count of monte cristo,法式音樂劇,1,The Count of Monte Cristo,The Count of Monte Cristo,基督山伯爵,The Count of Monte Cristo,基督山伯爵,1,1,1,官方譯名表,官方譯名表,1,1,1
country girl,Broadway/West End,1,Country Girl,Country Girl,,Country Girl,,1,0,0,—,—,1,1,1
crush,西葡音樂劇,1,Crush,Crush,,Crush,,1,0,0,—,—,1,1,1
curious case of benjamin button,Broadway/West End,1,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,,The Curious Case of Benjamin Button,,1,0,0,—,—,1,1,1
curtains,Broadway/West End,1,Curtains,Curtains,,Curtains,,1,0,0,—,—,1,1,1
damn yankees,Broadway/West End,1,Damn Yankees,Damn Yankees,,Damn Yankees,,1,0,0,—,—,1,1,1
das phantom der oper die originalproduktion von sasson sautter,德奧音樂劇,1,Das Phantom der Oper - Die Originalproduktion von Sasson/Sautter,Das Phantom der Oper - Die Originalproduktion von Sasson/Sautter,歌劇魅影,Das Phantom der Oper - Die Originalproduktion von Sasson/Sautter,歌剧魅影,1,1,1,官方譯名表,官方譯名表,1,1,1
days,韓國原創,5,The Days,The Days,,The Days,,1,0,0,—,—,1,1,1
de spiekpietjes,歐陸原創,1,De Spiekpietjes,De Spiekpietjes,,De Spiekpietjes,,1,0,0,—,—,1,1,1
dear evan hansen,Broadway/West End,11,Dear Evan Hansen,Dear Evan Hansen,親愛的艾文·漢森,Dear Evan Hansen,亲爱的艾文·汉森,1,1,1,官方譯名表,官方譯名表,1,1,1
death becomes her,Broadway/West End,20,Death Becomes Her,Death Becomes Her,捉神弄鬼,Death Becomes Her,飞越长生,1,1,1,官方譯名表,官方譯名表,1,1,1
death note,日本原創,1,Death Note,Death Note,死亡筆記本,Death Note,死亡笔记,1,1,1,官方譯名表,官方譯名表,1,1,1
death takes a holiday,Broadway/West End,1,Death Takes A Holiday,Death Takes A Holiday,,Death Takes A Holiday,,1,0,0,—,—,1,1,1
despres de nosaltres,西葡音樂劇,1,Després de nosaltres,Després de nosaltres,在我們之後,Després de nosaltres,在我们之后,1,1,1,官方譯名表,官方譯名表,1,1,1
devil wears prada,Broadway/West End,2,The Devil Wears Prada,The Devil Wears Prada,穿著Prada的惡魔,The Devil Wears Prada,时尚女魔头,1,1,1,官方譯名表,官方譯名表,1,1,1
diamond impulse,日本原創,1,黒蜥蜴／Diamond IMPULSE,黒蜥蜴／Diamond IMPULSE,,黒蜥蜴／Diamond IMPULSE,,0,0,0,日文漢字題名,日文漢字題名,1,1,1
diary of a wimpy kid,Broadway/West End,1,Diary of a Wimpy Kid,Diary of a Wimpy Kid,遜咖日記,Diary of a Wimpy Kid,小屁孩日记,1,1,1,官方譯名表,官方譯名表,1,1,1
die weihnachtsbackerei,德奧音樂劇,1,Die Weihnachtsbäckerei,Die Weihnachtsbäckerei,聖誕烘焙坊,Die Weihnachtsbäckerei,圣诞烘焙坊,1,1,1,官方譯名表,官方譯名表,1,1,1
dirty dancing,Broadway/West End,22,Dirty Dancing,Dirty Dancing,熱舞十七,Dirty Dancing,辣身舞,1,1,1,官方譯名表,官方譯名表,1,1,1
dirty rotten scoundrels,Broadway/West End,2,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels,,Dirty Rotten Scoundrels,,1,0,0,—,—,1,1,1
divorcio igualitario,西葡音樂劇,1,Divorcio igualitario,Divorcio igualitario,平權離婚,Divorcio igualitario,平权离婚,1,1,1,官方譯名表,官方譯名表,1,1,1
dolly,Broadway/West End,1,Dolly - A True Original Musical,Dolly - A True Original Musical,,Dolly - A True Original Musical,,1,0,0,—,—,1,1,1
dolly partons smoky mountain christmas carol,Broadway/West End,3,Dolly Parton's Smoky Mountain Christmas Carol,Dolly Parton's Smoky Mountain Christmas Carol,,Dolly Parton's Smoky Mountain Christmas Carol,,1,0,0,—,—,1,1,1
dracula,Broadway/West End,5,Dracula,Dracula,德古拉,Dracula,德古拉,1,1,1,官方譯名表,官方譯名表,1,1,1
drei haselnusse fur aschenbrodel,德奧音樂劇,1,Drei Haselnüsse für Aschenbrödel,Drei Haselnüsse für Aschenbrödel,三顆榛果給灰姑娘,Drei Haselnüsse für Aschenbrödel,三颗榛果给灰姑娘,1,1,1,官方譯名表,官方譯名表,1,1,1
edudant a francimor,歐陸原創,1,Edudant a Francimor,Edudant a Francimor,,Edudant a Francimor,,1,0,0,—,—,1,1,1
el alma al aire,西葡音樂劇,1,El Alma al aire,El Alma al aire,袒露的靈魂,El Alma al aire,袒露的灵魂,1,1,1,官方譯名表,官方譯名表,1,1,1
el fil invisible,西葡音樂劇,2,El fil invisible,El fil invisible,看不見的線,El fil invisible,看不见的线,1,1,1,官方譯名表,官方譯名表,1,1,1
el flautista de hamelin,西葡音樂劇,1,El flautista de Hamelin,El flautista de Hamelin,花衣魔笛手,El flautista de Hamelin,花衣魔笛手,1,1,1,官方譯名表,官方譯名表,1,1,1
el ladron de arabia,西葡音樂劇,1,El ladrón de Arabia,El ladrón de Arabia,阿拉伯大盜,El ladrón de Arabia,阿拉伯大盗,1,1,1,官方譯名表,官方譯名表,1,1,1
el libro de la selva la aventura de mowgli,西葡音樂劇,1,"El Libro de la Selva, La Aventura de Mowgli","El Libro de la Selva, La Aventura de Mowgli",叢林奇譚：毛克利的冒險,"El Libro de la Selva, La Aventura de Mowgli",丛林奇谭：毛克利的冒险,1,1,1,官方譯名表,官方譯名表,1,1,1
el mago de oz,西葡音樂劇,1,El Mago de Oz,El Mago de Oz,綠野仙蹤,El Mago de Oz,绿野仙踪,1,1,1,官方譯名表,官方譯名表,1,1,1
el misterio de chamberi,西葡音樂劇,1,El Misterio de Chamberí,El Misterio de Chamberí,錢貝里之謎,El Misterio de Chamberí,钱贝里之谜,1,1,1,官方譯名表,官方譯名表,1,1,1
elf,Broadway/West End,5,Elf,Elf,精靈總動員,Elf,圣诞精灵,1,1,1,官方譯名表,官方譯名表,1,1,1
elisabeth,德奧音樂劇,5,Elisabeth,Elisabeth,伊莉莎白,Elisabeth,伊丽莎白,1,1,1,官方譯名表,官方譯名表,1,1,1
ella era anita,西葡音樂劇,1,Ella era Anita,Ella era Anita,她曾是安妮塔,Ella era Anita,她曾是安妮塔,1,1,1,官方譯名表,官方譯名表,1,1,1
elvalt nok klubja nyilvanos foproba,歐陸原創,1,Elvált nők klubja : Nyilvános főpróba,Elvált nők klubja : Nyilvános főpróba,大老婆俱樂部,Elvált nők klubja : Nyilvános főpróba,前妻俱乐部,1,1,1,官方譯名表,官方譯名表,1,1,1
emil i lonneberga,歐陸原創,1,Emil i Lönneberga,Emil i Lönneberga,小搗蛋艾米爾,Emil i Lönneberga,淘气包埃米尔,1,1,1,官方譯名表,官方譯名表,1,1,1
en joan sense por i la casa encantada,西葡音樂劇,1,En Joan sense por i la casa encantada,En Joan sense por i la casa encantada,無畏的胡安與鬼屋,En Joan sense por i la casa encantada,无畏的胡安与鬼屋,1,1,1,官方譯名表,官方譯名表,1,1,1
encantats,西葡音樂劇,2,Encantats,Encantats,著了魔,Encantats,着了魔,1,1,1,官方譯名表,官方譯名表,1,1,1
erase otra vez,西葡音樂劇,1,Érase otra vez,Érase otra vez,從前又一次,Érase otra vez,从前又一次,1,1,1,官方譯名表,官方譯名表,1,1,1
es navidad,西葡音樂劇,1,¡Es Navidad!,¡Es Navidad!,聖誕節到了！,¡Es Navidad!,圣诞节到了！,1,1,1,官方譯名表,官方譯名表,0,0,0
escape to margaritaville,Broadway/West End,1,Escape to Margaritaville,Escape to Margaritaville,,Escape to Margaritaville,,1,0,0,—,—,1,1,1
espejito espejito,西葡音樂劇,1,"Espejito, Espejito","Espejito, Espejito",魔鏡魔鏡,"Espejito, Espejito",魔镜魔镜,1,1,1,官方譯名表,官方譯名表,1,1,1
europavisjonar,歐陸原創,1,Europavisjonar,Europavisjonar,,Europavisjonar,,1,0,0,—,—,1,1,1
everybodys talking about jamie,Broadway/West End,10,Everybody's Talking About Jamie,Everybody's Talking About Jamie,人人都在談論傑米,Everybody's Talking About Jamie,人人都在谈论杰米,1,1,1,官方譯名表,官方譯名表,1,1,1
evita,Broadway/West End,3,Evita,Evita,艾薇塔,Evita,艾薇塔,1,1,1,官方譯名表,官方譯名表,1,1,1
fan letter,韓國原創,6,Fan Letter,Fan Letter,光的來信,Fan Letter,粉丝来信,1,1,1,官方譯名表,官方譯名表,1,1,1
fiddler on the roof,Broadway/West End,2,Fiddler on the Roof,Fiddler on the Roof,屋頂上的提琴手,Fiddler on the Roof,屋顶上的提琴手,1,1,1,官方譯名表,官方譯名表,1,1,1
fifty shades,Broadway/West End,1,Fifty Shades! The Musical,Fifty Shades! The Musical,,Fifty Shades! The Musical,,1,0,0,—,—,1,1,1
finding neverland,Broadway/West End,1,Finding Neverland,Finding Neverland,尋找新樂園,Finding Neverland,寻找梦幻岛,1,1,1,官方譯名表,官方譯名表,1,1,1
finians rainbow,Broadway/West End,1,Finian's Rainbow,Finian's Rainbow,,Finian's Rainbow,,1,0,0,—,—,1,1,1
footloose,Broadway/West End,2,Footloose,Footloose,渾身是勁,Footloose,浑身是劲,1,1,1,官方譯名表,官方譯名表,1,1,1
forever plaid,Broadway/West End,1,Forever Plaid,Forever Plaid,,Forever Plaid,,1,0,0,—,—,1,1,1
forza venite gente,歐陸原創,18,Forza Venite Gente,Forza Venite Gente,,Forza Venite Gente,,1,0,0,—,—,1,1,1
frankenstein,韓國原創,1,Frankenstein,Frankenstein,科學怪人,Frankenstein,弗兰肯斯坦,1,1,1,官方譯名表,官方譯名表,1,1,1
franz and marie,Broadway/West End,1,Franz & Marie,Franz & Marie,,Franz & Marie,,1,0,0,—,—,1,1,1
frida opera musical,歐陸原創,11,FRIDA Opera Musical,FRIDA Opera Musical,芙烈達·卡蘿,FRIDA Opera Musical,弗里达·卡罗,1,1,1,官方譯名表,官方譯名表,1,1,1
frozen,Broadway/West End,12,Frozen,Frozen,冰雪奇緣,Frozen,冰雪奇缘,1,1,1,官方譯名表,官方譯名表,1,1,1
full monty,Broadway/West End,1,The Full Monty,The Full Monty,,The Full Monty,,1,0,0,—,—,1,1,1
fun home,Broadway/West End,1,Fun Home,Fun Home,,Fun Home,,1,0,0,—,—,1,1,1
funny girl,Broadway/West End,1,Funny Girl,Funny Girl,妙女郎,Funny Girl,妙女郎,1,1,1,官方譯名表,官方譯名表,1,1,1
galileo,Broadway/West End,1,Galileo,Galileo,,Galileo,,1,0,0,—,—,1,1,1
garfio y la isla del tesoro,西葡音樂劇,1,Garfio y la isla del tesoro,Garfio y la isla del tesoro,虎克船長與金銀島,Garfio y la isla del tesoro,铁钩船长与金银岛,1,1,1,官方譯名表,官方譯名表,1,1,1
gaudi el despertar del geni,西葡音樂劇,1,Gaudí: El Despertar Del Geni,Gaudí: El Despertar Del Geni,高第,Gaudí: El Despertar Del Geni,高迪,1,1,1,官方譯名表,官方譯名表,1,1,1
ghost,Broadway/West End,8,Ghost,Ghost,第六感生死戀,Ghost,人鬼情未了,1,1,1,官方譯名表,官方譯名表,1,1,1
girls night,Broadway/West End,2,Girls Night,Girls Night,,Girls Night,,1,0,0,—,—,1,1,1
gloria,歐陸原創,9,Gloria - Il Musical,Gloria - Il Musical,,Gloria - Il Musical,,1,0,0,—,—,1,1,1
gone tomorrow,韓國原創,1,Gone Tomorrow,Gone Tomorrow,,Gone Tomorrow,,1,0,0,—,—,1,1,1
grease,Broadway/West End,18,Grease,Grease,火爆浪子,Grease,油脂,1,1,1,官方譯名表,官方譯名表,1,1,1
great gatsby,Broadway/West End,22,The Great Gatsby,The Great Gatsby,大亨小傳,The Great Gatsby,了不起的盖茨比,1,1,1,官方譯名表,官方譯名表,1,1,1
greatest showman,Broadway/West End,1,The Greatest Showman,The Greatest Showman,大娛樂家,The Greatest Showman,马戏之王,1,1,1,官方譯名表,官方譯名表,1,1,1
guys and dolls,Broadway/West End,3,Guys and Dolls,Guys and Dolls,紅男綠女,Guys and Dolls,红男绿女,1,1,1,官方譯名表,官方譯名表,1,1,1
gwanghwamun love song,韓國原創,1,Gwanghwamun Love Song,Gwanghwamun Love Song,,Gwanghwamun Love Song,,1,0,0,—,—,0,0,0
